subject,idna_subject,expiration_date,epoch,registrar
axwnmenruo.com,axwnmenruo.com,02-dec-2024,1733097600.0,Copper Domain Names LLC
b0e8.com,b0e8.com,16-oct-2025,1760572800.0,"GoDaddy.com, LLC"
b2b-actualites.com,b2b-actualites.com,12-dec-2024,1733961600.0,NAMESHIELD SAS
b5942f941d.com,b5942f941d.com,23-jul-2024,1721692800.0,Danesco Trading Ltd.
baisoabe.com,baisoabe.com,17-nov-2024,1731801600.0,"URL Solutions, Inc."
bassins-a-flot.fr,bassins-a-flot.fr,16-jan-2025,1736985600.0,OVH
auditude.com,auditude.com,01-jul-2025,1751328000.0,"CSC Corporate Domains, Inc."
bc0a.com,bc0a.com,01-may-2025,1746057600.0,"GoDaddy.com, LLC"
bctagb56.xyz,bctagb56.xyz,27-jun-2024,1719446400.0,"Go Daddy, LLC"
beaute-test.com,beaute-test.com,20-nov-2025,1763596800.0,OVH sas
bauermedia.fr,bauermedia.fr,22-may-2025,1747872000.0,KEY-SYSTEMS GmbH
bemascloche.life,bemascloche.life,11-aug-2024,1723334400.0,"URL Solutions, Inc."
bemobtrk.com,bemobtrk.com,12-oct-2024,1728691200.0,"NameCheap, Inc."
bestbuyrdp.com,bestbuyrdp.com,21-dec-2024,1734739200.0,Squarespace Domains II LLC
bfovysc.com,bfovysc.com,17-aug-2024,1723852800.0,"NameCheap, Inc."
bewsejqcbm.com,bewsejqcbm.com,20-nov-2024,1732060800.0,"URL Solutions, Inc."
bidfhimuqwij.com,bidfhimuqwij.com,02-dec-2024,1733097600.0,DropCatch.com 1377 LLC
bhnjwmega.com,bhnjwmega.com,19-aug-2024,1724025600.0,"URL Solutions, Inc."
bidvance.com,bidvance.com,01-oct-2025,1759276800.0,PDR Ltd. d/b/a PublicDomainRegistry.com
bifsujtwmpojqpt.com,bifsujtwmpojqpt.com,21-aug-2024,1724198400.0,"URL Solutions, Inc."
bigmister.pro,bigmister.pro,21-sep-2024,1726876800.0,Danesco Trading Ltd.
bigrourg.net,bigrourg.net,12-mar-2025,1741737600.0,"URL Solutions, Inc."
bihunekus.com,bihunekus.com,04-apr-2025,1743724800.0,Danesco Trading Ltd.
binomnet.com,binomnet.com,05-sep-2024,1725494400.0,"URL Solutions, Inc."
bioeesrqti.com,bioeesrqti.com,20-aug-2024,1724112000.0,"NameCheap, Inc."
biletto.dk,biletto.dk,30-sep-2026,1790726400.0,
biroads.com,biroads.com,12-dec-2024,1733961600.0,"NameCheap, Inc."
biosda.com,biosda.com,18-dec-2024,1734480000.0,Slow Motion Domains LLC
bitmedia.io,bitmedia.io,13-jun-2027,1812844800.0,101domain GRS Limited
bit-ad.com,bit-ad.com,24-dec-2024,1734998400.0,Porkbun LLC
blanddish.pro,blanddish.pro,08-apr-2025,1744070400.0,"NameCheap, Inc."
bnohewjt.com,bnohewjt.com,13-aug-2024,1723507200.0,"NameCheap, Inc."
